candidate,frequency_hz,impedance_magnitude_pa_s_m3,horizontal_6db_half_angle_deg,vertical_6db_half_angle_deg,gmres_iterations,solve_seconds,relative_residual
2,2237.5031486252237,990077.6554072843,37.842477126375215,37.838391618292,47,33.570212042,1.0024916013900902e-10
2,2320.794416806388,972513.5355504592,36.52649289344497,36.52279129115168,48,34.228007875,1.3043620627419265e-10
2,2407.186210392174,967960.0048684468,36.33287976174598,36.33014777482939,49,35.474884416,9.1357090804547e-11
2,2496.7939467365745,973930.2960107247,37.14962430055716,37.14782908449,47,34.078499292,1.3744918988269986e-10
2,2589.737339615606,974655.5214156304,38.408203304560715,38.404909661141254,49,35.249472041,1.0059085413348035e-10
2,2686.140559162015,957099.0076998314,39.4188475713424,39.409316767120664,52,37.986825125,1.0265952409665946e-10
2,2786.1323977535862,933794.6877276471,39.26200310812503,39.24928830380661,54,38.028820209,7.413061462421047e-11
2,2889.8464420766563,925435.5505880729,37.69995271825109,37.68029957485259,54,38.716092583,1.275374072884362e-10
2,2997.421251594704,927116.1148101389,36.60119065461745,36.576422752215805,51,36.409981458,1.1625276153284368e-09
2,3109.000543660457,919771.2794486966,37.89687753431987,37.87581093644193,56,39.608686917,8.444791873115809e-11
2,3224.73338551881,899722.9476929201,39.1320901554877,39.122776023241514,57,39.952251875,1.2238894758797502e-10
2,3344.7743934570694,883472.1290245086,38.53082877562561,38.53229241164961,61,42.503310166,6.035065568186961e-11
2,3469.28393936859,882452.3648341189,37.26205314579267,37.270940385678976,62,43.960813166,7.174503944907249e-11
2,3598.42836500576,880958.4911539376,36.1325886186496,36.14385460049997,63,44.9236925,8.996682773672531e-11
2,3732.38020420856,865913.2029180964,35.586316895807315,35.59364116342096,69,49.351916208,3.132312771472036e-10
2,3871.318413405634,852945.4109429363,35.12203475788431,35.12259662998222,69,48.246663583,9.776733056937035e-11
2,4015.4286106957557,853032.5614555132,34.24313973250483,34.24199036059506,68,47.58113625,3.659549969439929e-10
2,4164.903323829131,851609.8262702553,33.56096721143139,33.56464622777902,71,49.89293525,1.276226835699589e-10
2,4319.9422474198445,841610.2664177712,33.44864878692495,33.46003107581535,72,50.891053958,5.411287307518904e-11
2,4480.752509733024,837835.4094831721,32.95545270449728,32.98147543255245,77,52.874377792,8.270650171817073e-10
2,4647.548949403246,838128.1270905323,32.00215319067344,32.06088273501915,79,55.273674791,1.2936857087171765e-10
2,4820.554402453749,835536.6138134825,32.08882502340098,32.157985402535765,84,57.13170725,9.560622717727845e-11
