frequency_hz,fem_resistance_pa_s_m3,fem_reactance_pa_s_m3,fem_magnitude_pa_s_m3,webster_resistance_pa_s_m3,webster_reactance_pa_s_m3,webster_magnitude_pa_s_m3,fem_radiated_power_w,webster_radiated_power_w,gmres_iterations,solve_seconds,relative_residual
686.2304805037812,171725.80213451106,618034.6667518802,641448.8291561914,296245.0181348681,733457.5772475554,791025.3652011306,85862.90106725319,148122.5090674397,43,14.148307459,1.0691908861351375e-10
706.2687723113769,186259.30404789376,643786.6207800666,670189.332532101,345265.1881005898,746035.1919388437,822056.2983916387,93129.65202394962,172632.59405030118,43,14.180478833,1.264199642261076e-10
726.892192803831,203991.11529446385,671340.5483191479,701648.4211744037,398207.481229403,747671.1997510559,847101.7772642486,101995.5576472303,199103.74061470776,43,14.079579833,1.5065978364998016e-10
748.1178280472163,225672.4499486064,700416.4758484775,735874.5098899724,449932.3883126868,735512.9568462975,862217.1789877199,112836.22497429988,224966.19415634347,43,14.085098084,1.834813640136197e-10
769.9632630297459,252150.17083849345,730517.7286425155,772810.365170461,492966.5454391629,709984.6574224231,864346.1278315868,126075.08541923673,246483.27271958182,43,14.106061833,2.3304964842814573e-10
792.4465962305569,284327.34775091836,760828.0589592061,812220.029289296,520269.2773274733,676621.1940088337,853519.9828432789,142163.6738754524,260134.63866374476,43,14.06030325,3.1824081216440086e-10
815.5864546139189,323057.9509243642,790090.3758173314,853586.1067371123,529175.1824712253,644959.7349971628,834265.8050711806,161528.97546223045,264587.5912356064,42,13.854543708,8.722624221601225e-10
839.4020090612802,368938.14115278097,816501.0826637028,895985.1393791462,523124.68691291445,624433.2224350725,814601.9195523562,184469.07057639747,261562.34345645976,43,14.110124834,6.618166674089636e-10
863.9129902539312,421967.42153780704,837698.2380518586,937973.7964753886,509604.5331163524,620678.9971137199,803081.0654167042,210983.71076889924,254802.26655817273,45,14.670626708,3.1965978041246634e-10
889.1397050194613,481111.8717923339,850973.4426838617,977560.449963452,496699.6439544837,634953.968573266,806149.5385543868,240555.9358961824,248349.82197724754,47,15.24458425,1.958713712355136e-10
915.1030531555283,543933.9560635427,853841.8515804211,1012378.4154500816,491142.09152967704,665802.719131739,827353.5005518276,271966.9780317567,245571.04576484882,48,15.789087,2.572532784409107e-10
941.8245447449,606614.3600498614,844960.9603203913,1040163.4517152873,498365.5475771983,710825.2679376578,868124.8646079454,303307.1800248086,249182.7737886083,90,30.060270084,7.3083590374122875e-09
